NCT,Author,Year_x,PMID_x,Primary endpoint,endpoint_type,Authors,Year_y,PMID_y
NCT01585987,Bang YJ et al,2017,28655793,PFS,"Based on the provided text, I cannot determine if 'PFS' is a primary or secondary endpoint because there is no text to analyze.",Bang YJ et al,2017,28655793
NCT02564263,Kojima T et al.,2020,33026938,OS,"Based on the text, I cannot determine if 'OS' is a primary or secondary endpoint because the text is missing. I need the text to answer your question.",Kojima T et al.,2020,33026938
NCT02625610,Moehler M et al,2020,33197226,OS,"Based on the text, I cannot determine if 'OS' is a primary or secondary endpoint because the text is missing. I need the text to answer your question.",Moehler M et al,2020,33197226
NCT02569242,Kato K et al,2019,31582355,OS,"Based on the text, I cannot determine if 'OS' is a primary or secondary endpoint because the text is missing. I need the text to answer your question.",Kato K et al,2019,31582355
NCT02267343,Chen LT et al,2019,31863227,OS,"Based on the text, I cannot determine if 'OS' is a primary or secondary endpoint because the text is missing. I need the text to answer your question.",Kang YK et al,2017,28993052
NCT02267343,Chen LT et al,2019,31863227,OS,"Based on the text, I cannot determine if 'OS' is a primary or secondary endpoint because the text is missing. I need the text to answer your question.",Chen LT et al,2019,31863227
NCT02625623,Bang YJ et al,2018,30052729,OS,"Based on the text, I cannot determine if 'OS' is a primary or secondary endpoint because the text is missing. I need the text to answer your question.",Bang YJ et al,2018,30052729
NCT02267343,Kang YK et al,2017,28993052,OS,"Based on the text, I cannot determine if 'OS' is a primary or secondary endpoint because the text is missing. I need the text to answer your question.",Kang YK et al,2017,28993052
NCT02267343,Kang YK et al,2017,28993052,OS,"Based on the text, I cannot determine if 'OS' is a primary or secondary endpoint because the text is missing. I need the text to answer your question.",Chen LT et al,2019,31863227
NCT02494583,Shitara K et al (1),2020,32880601,OS+PFS,Secondary,Shitara K et al,2020,32880601
NCT02494583,Shitara K et al (1),2020,32880601,OS+PFS,Secondary,Shitara K et al (1),2020,32880601
NCT02494583,Shitara K et al,2020,32880601,OS+PFS,Secondary,Shitara K et al,2020,32880601
NCT02494583,Shitara K et al,2020,32880601,OS+PFS,Secondary,Shitara K et al (1),2020,32880601
NCT02370498,Shitara K et al,2018,29880231,OS+PFS,Secondary,Shitara K et al,2018,29880231
