NCT,PMID,Authors,Year,Originial publication or Follow-up,is_follow_up
NCT00324155,21639810,Robert C et al,2011,Original publication,False
NCT00094653,20525992,Hodi FS et al,2010,Original publication,False
NCT00094653,20525992,Hodi FS et al,2010,Original publication,False
NCT00257205,23295794,Ribas A et al,2013,Original publication,False
NCT02362594,29658430,Eggermont AMM et al,2018,Original publication,False
NCT01704287,26115796,Ribas A et al,2015,Original publication,False
NCT01704287,26115796,Ribas A et al,2015,Original publication,False
NCT01704287,28961465,Hamid O et al,2017,Follow-up,True
NCT01704287,28961465,Hamid O et al,2017,Follow-up,True
NCT00636168,27717298,Eggermont AMM et al,2016,Original publication,False
NCT01721746,25795410,Weber JS et al,2015,Original publication,False
NCT01721746,28671856,Larkin J et al,2018,Follow-up,True
NCT02130466,31171878,Ascierto PA et al,2019,Original publication,False
NCT01721772,25399552,Robert C et al,2015,Original publication,False
NCT01721772,30422243,Ascierto PA et al,2019,Follow-up,True
NCT01274338,31880964,Tarhini AA et al,2020,Original publication,False
NCT01274338,31880964,Tarhini AA et al,2020,Original publication,False
NCT02523313,32416781,Zimmer L et al,2020,Original publication,False
NCT02523313,32416781,Zimmer L et al,2020,Original publication,False
NCT02908672,32534646,Gutzmer R et al,2020,Original publication,False
NCT00094653,23942774,McDermott D et al,2013,Follow-up,True
NCT00094653,23942774,McDermott D et al,2013,Follow-up,True
NCT01721772,32997575,Robert C et al,2020,Follow-up,True
NCT02130466,33361337,Ferrucci PF et al,2020,Original publication,False
NCT02362594,32946353,Eggermont AMM et al,2020,Follow-up,True
 NCT00636168,25840693,Eggermont AMM et al,2015,Original publication,False
