question,generated_sql,Primary endpoint,Secondary endpoint
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS,"PFS, best ORR, DCR, time to response, DOR, safety"
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS,Comparison of OS between ipilimumab-alone and gp100-alone groups and between the two ipilimumab groups; best ORR; duration of response; PFS.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS,PFS; best overall response; duration of response; PFS at 6 months after random assignment; safety.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",PFS,Distant metastasis-free survival; OS; safety measures; measures of health-related quality of life.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS+PFS,ORR; response duration; time from best overall response of complete or partial response until disease progression; safety.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS+PFS,ORR; response duration; safety.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS+PFS,ORR; response duration; safety.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",PFS,OS; distant metastasis–free survival; safety; health-related quality of life.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS+ORR,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS+ORR,PFS; PD-L1 expression as a predictive biomarker for ORR and OS; health-related quality of life.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",PFS,ORR; duration of response; time to response; OS.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS,Investigator-assessed PFS and objective response; tumor PD-L1 expression as a predictive biomarker of OS.
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS+RFS,"Safety, tolerability and quality-of-life with adjuvant ipilimumab"
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",OS+RFS,"Safety, tolerability and quality-of-life with adjuvant ipilimumab"
"In Melanoma trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT ""Primary endpoint"", ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Melanoma'",RFS,OS; time to recurrence; safety; PFS or RFS 2.
