row_index,question,model_name,model_load_path_or_id,pred_sql,pred_sql_final,pred_sql_fixes,pred_answer,pred_assumptions,raw_text,ground_truth_sql,gt_sql_final,gt_sql_fixes,sql_jaccard,relaxed_exact_match,relaxed_em_threshold,pred_exec_status,pred_exec_ms,pred_exec_error,pred_result_rows,pred_result_hash,gt_exec_status,gt_exec_ms,gt_exec_error,gt_result_rows,gt_result_hash,results_equal_exact,results_equal_normalized,rowcount_delta_pred_minus_gt,column_overlap_ratio,row_artifacts_dir,self_consistency_num_candidates,self_consistency_best_candidate_index,self_consistency_candidates_dir
0,Show Melanoma trials that used ICI+Vaccine combinations.,Qwen3-8B,/mnt/shared/shared_hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218,"SELECT ""nct"", ""author"", ""year"", ""pubmed_id"" FROM public.""clinical_trials"" WHERE ""cancer_type"" ILIKE '%melanoma%' AND ""type_of_combination"" ILIKE '%ici+vac%';","SELECT ""nct"", ""author"", ""year"", ""pubmed_id"" FROM public.""clinical_trials"" WHERE ""cancer_type"" ILIKE '%melanoma%' AND ""type_of_combination"" ILIKE '%ici+vac%';",[],"The query returns Melanoma trials that used ICI+Vaccine combinations, including their NCT ID, author, year, and PubMed ID.",Assumed that 'ICI+Vaccine' combinations are indicated by the presence of 'ici+vac' in the 'type_of_combination' field.,,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""combination_type"", ""cancer_type"", ""treatment_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""combination_type"" = 'ICI+Vaccine';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_combination"", ""cancer_type"", ""treatment_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""type_of_combination"" = 'ICI+Vaccine';","[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'combination_type', 'replaced_with': 'type_of_combination', 'reason': 'known_map'}]",0.4,False,0.7,ok,2.9665641486644745,,2.0,e78647451cffdf775b815735ebe4a7a8,ok,2.845458686351776,,2,1a634f7db2d988edb87fd3721f646b89,False,False,0.0,0.3333333333333333,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row000,8,3,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row000/candidates
1,Show Melanoma trials with at least 2 prior lines of therapy that used combination treatment.,Qwen3-8B,/mnt/shared/shared_hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218,"SELECT \""nct\"", \""author\"", \""year\"", \""pubmed_id\"" FROM public.\""clinical_trials\"" WHERE \""cancer_type\"" ILIKE '%melanoma%' AND \""lines_of_treatment\"" >= 2 AND \""type_of_combination\"" ILIKE '%combination%';","SELECT \""nct\"", \""author\"", \""year\"", \""pubmed_id\"" FROM public.\""clinical_trials\"" WHERE \""cancer_type\"" ILIKE '%melanoma%' AND \""lines_of_treatment\"" >= 2 AND \""type_of_combination\"" ILIKE '%combination%';",[],,,,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""lines_of_treatment"", ""therapy_modality"", ""cancer_type"", ""combination_type"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""lines_of_treatment"", ""monotherapy_combination"", ""cancer_type"", ""type_of_combination"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND NULLIF(regexp_replace((""lines_of_treatment"")::text, '[^0-9\.-]', '', 'g'), '')::numeric >= 2 AND ""monotherapy_combination"" = 'Combination';","[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}, {'missing': 'combination_type', 'replaced_with': 'type_of_combination', 'reason': 'known_map'}]",0.3333333333333333,False,0.7,error,1.3330220244824886,"(psycopg2.errors.SyntaxError) syntax error at or near ""\""
LINE 1: SELECT \""nct\"", \""author\"", \""year\"", \""pubmed_id\"" FROM pub...
               ^

[SQL: SELECT \""nct\"", \""author\"", \""year\"", \""pubmed_id\"" FROM public.\""clinical_trials\"" WHERE \""cancer_type\"" ILIKE '%%melanoma%%' AND \""lines_of_treatment\"" >= 2 AND \""type_of_combination\"" ILIKE '%%combination%%';]
(Background on this error at: https://sqlalche.me/e/20/f405)",,,ok,4.137126263231039,,2,a4cb08a66a0eeac276f7d6e199c2fe16,,,,,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row001,8,0,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row001/candidates
2,List Melanoma trials requiring a biomarker other than PD‑L1 for inclusion.,Qwen3-8B,/mnt/shared/shared_hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218,"SELECT ""nct"", ""author"", ""year"", ""pubmed_id"" FROM public.""clinical_trials"" WHERE ""is_any_other_biomarker_used_for_inclusion_criteria"" = true AND ""is_pd_l1_positivity_inclusion_criteria"" = false;","SELECT ""nct"", ""author"", ""year"", ""pubmed_id"" FROM public.""clinical_trials"" WHERE ""is_any_other_biomarker_used_for_inclusion_criteria"" = true AND ""is_pd_l1_positivity_inclusion_criteria"" = false;",[],The query lists Melanoma trials that require a biomarker other than PD-L1 for inclusion.,"Assumes that the 'is_any_other_biomarker_used_for_inclusion_criteria' column indicates trials requiring other biomarkers, and 'is_pd_l1_positivity_inclusion_criteria' being false means PD-L1 is not required.",,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""other_biomarker_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""other_biomarker_inclusion"" = 'Yes';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""is_any_other_biomarker_used_for_inclusion"", ""cancer_type"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Melanoma' AND ""is_any_other_biomarker_used_for_inclusion"" = 'Yes';","[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'other_biomarker_inclusion', 'replaced_with': 'is_any_other_biomarker_used_for_inclusion', 'reason': 'known_map'}]",0.25,False,0.7,error,1.4740577898919582,"(psycopg2.errors.UndefinedColumn) column ""is_any_other_biomarker_used_for_inclusion_criteria"" does not exist
LINE 1: ..., ""pubmed_id"" FROM public.""clinical_trials"" WHERE ""is_any_ot...
                                                             ^

[SQL: SELECT ""nct"", ""author"", ""year"", ""pubmed_id"" FROM public.""clinical_trials"" WHERE ""is_any_other_biomarker_used_for_inclusion_criteria"" = true AND ""is_pd_l1_positivity_inclusion_criteria"" = false;]
(Background on this error at: https://sqlalche.me/e/20/f405)",,,ok,4.592421930283308,,10,7bd97799fb8efed6ec4bb7cba3048ede,,,,,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row002,8,0,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row002/candidates
3,Show Ipilimumab combination trials in Melanoma with sample sizes.,Qwen3-8B,/mnt/shared/shared_hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218,"SELECT ""nct"", ""author"", ""year"", ""pubmed_id"", ""total_sample_size"" FROM public.""clinical_trials"" WHERE ""name_of_ici"" = 'Ipilimumab' AND ""cancer_type"" = 'Melanoma' AND ""number_of_arms"" > 1;","SELECT ""nct"", ""author"", ""year"", ""pubmed_id"", ""total_sample_size"" FROM public.""clinical_trials"" WHERE ""name_of_ici"" = 'Ipilimumab' AND ""cancer_type"" = 'Melanoma' AND ""number_of_arms"" > 1;",[],The query retrieves Ipilimumab combination trials in Melanoma with their sample sizes.,Assuming that trials with more than one arm are considered combination trials.,,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""ici_name"", ""therapy_modality"", ""cancer_type"", ""total_sample_size"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""ici_name"" = 'Ipilimumab' AND ""cancer_type"" = 'Melanoma' AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""name_of_ici"", ""monotherapy_combination"", ""cancer_type"", ""total_sample_size"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""name_of_ici"" = 'Ipilimumab' AND ""cancer_type"" = 'Melanoma' AND ""monotherapy_combination"" = 'Combination';","[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}]",0.4166666666666667,False,0.7,ok,3.3170687966048717,,9.0,9bae0a3e26dfb7f6b61d279d96f3b170,ok,3.757807891815901,,3,450638e504f720d18321af1e48792315,False,False,6.0,0.4,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row003,8,3,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row003/candidates
4,"Which Phase 3 CTLA-4 combination trials in Melanoma should I review, and what were their regimens?",Qwen3-8B,/mnt/shared/shared_hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218,"SELECT ""nct"", ""author"", ""year"", ""pubmed_id"", ""trial_phase"", ""treatment_regimen"", ""name_of_ici"", ""class_of_ici"", ""type_of_combination"", ""control_regimen"" FROM public.""clinical_trials"" WHERE ""trial_phase"" = 'Phase 3' AND ""cancer_type"" = 'Melanoma' AND ""class_of_ici"" = 'CTLA4' AND ""type_of_combination"" IS NOT NULL;","SELECT ""nct"", ""author"", ""year"", ""pubmed_id"", ""trial_phase"", ""treatment_regimen"", ""name_of_ici"", ""class_of_ici"", ""type_of_combination"", ""control_regimen"" FROM public.""clinical_trials"" WHERE ""trial_phase"" = 'Phase 3' AND ""cancer_type"" = 'Melanoma' AND ""class_of_ici"" = 'CTLA4' AND ""type_of_combination"" IS NOT NULL;",[],Phase 3 CTLA-4 combination trials in Melanoma and their regimens can be reviewed using the query results.,Assuming 'CTLA-4' is mapped to 'CTLA4' in the 'class_of_ici' column and that 'type_of_combination' indicates combination trials.,,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""ici_class"", ""therapy_modality"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'CTLA-4' AND ""cancer_type"" = 'Melanoma' AND ""trial_phase"" = 'Phase 3' AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""trial_phase"", ""class_of_ici"", ""monotherapy_combination"", ""cancer_type"", ""name_of_ici"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'CTLA-4' AND ""cancer_type"" = 'Melanoma' AND ""trial_phase"" = 'Phase 3' AND ""monotherapy_combination"" = 'Combination';","[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]",0.4,False,0.7,ok,4.021748434752226,,0.0,7ccd3003d9c0b9d67b8d6628904a0346,ok,3.4352149814367294,,3,64009134edc259f494968388eae10fbd,False,False,-3.0,0.5384615384615384,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row004,8,1,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row004/candidates
5,"Which Non-Small Cell Lung studies tested ICI+Chemo combinations, and what were the primary endpoints?",Qwen3-8B,/mnt/shared/shared_hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218,"SELECT ""nct"", ""author"", ""year"", ""pubmed_id"", ""primary_endpoint"" FROM public.""clinical_trials"" WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""type_of_combination"" = 'ICI+Chemo' AND ""primary_endpoint"" IS NOT NULL;","SELECT ""nct"", ""author"", ""year"", ""pubmed_id"", ""primary_endpoint"" FROM public.""clinical_trials"" WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""type_of_combination"" = 'ICI+Chemo' AND ""primary_endpoint"" IS NOT NULL;",[],The query retrieves Non-Small Cell Lung studies that tested ICI+Chemo combinations along with their primary endpoints.,Assuming 'ICI+Chemo' is explicitly mentioned in the 'type_of_combination' column and 'Non-Small Cell Lung' is the exact value in 'cancer_type'.,,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""combination_type"", ""cancer_type"", ""treatment_regimen"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""combination_type"" = 'ICI+Chemo';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_combination"", ""cancer_type"", ""treatment_regimen"", ""primary_endpoint""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""type_of_combination"" = 'ICI+Chemo';","[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'combination_type', 'replaced_with': 'type_of_combination', 'reason': 'known_map'}]",0.5,False,0.7,ok,3.333703149110079,,13.0,c8824dd5106fdda25730c60d3ac88f33,ok,2.8290296904742718,,13,236df42ce4bb6747f87067a0ee5d91a9,False,False,0.0,0.4444444444444444,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row005,8,0,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row005/candidates
6,Which Non-Small Cell Lung phase 2 trials compared ICI to Chemo?,Qwen3-8B,/mnt/shared/shared_hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218,"SELECT ""nct"", ""author"", ""year"", ""pubmed_id"" FROM public.""clinical_trials"" WHERE ""trial_phase"" = 'Phase 2' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""class_of_ici"" ILIKE '%ICI%' AND ""control_regimen"" ILIKE '%Chemo%';","SELECT ""nct"", ""author"", ""year"", ""pubmed_id"" FROM public.""clinical_trials"" WHERE ""trial_phase"" = 'Phase 2' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""class_of_ici"" ILIKE '%ICI%' AND ""control_regimen"" ILIKE '%Chemo%';",[],The query retrieves Non-Small Cell Lung phase 2 trials that compared ICI to chemotherapy.,Assumes 'Chemo' is a valid term for chemotherapy in the control_regimen field and that ICI is explicitly mentioned.,,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""control_type"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 2' AND ""control_type"" = 'Chemo';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""trial_phase"", ""type_of_control"", ""cancer_type"", ""name_of_ici"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 2' AND ""type_of_control"" = 'Chemo';","[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'control_type', 'replaced_with': 'type_of_control', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]",0.4166666666666667,False,0.7,ok,4.055370111018419,,0.0,1d9e0c36491c45ff946e09de54ac4223,ok,3.7184152752161026,,9,b5f4ffbaf11f5139e44195d6e8627e77,False,False,-9.0,0.3,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row006,8,0,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row006/candidates
7,"Which Phase 2 CTLA-4 combination trials in Non-Small Cell Lung should I review, and what were their regimens?",Qwen3-8B,/mnt/shared/shared_hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218,"SELECT ""nct"", ""author"", ""year"", ""pubmed_id"", ""trial_name"", ""trial_phase"", ""cancer_type"", ""treatment_regimen"", ""monotherapy_combination"", ""type_of_combination"", ""control_regimen"", ""type_of_control"", ""lines_of_treatment"", ""clincal_setting_in_relation_to_surgery"", ""primary_endpoint"", ""priamry_multiple_composite_or_co_primary_endpoints"", ""secondary_endpoint"", ""is_pd_l1_positivity_inclusion_criteria"", ""is_any_other_biomarker_used_for_inclusion"", ""type_of_follow_up_given"", ""follow_up_duration_for_primary_endpoint_s_in_months_overall"", ""follow_up_duration_for_primary_endpoint_s_in_months_rx"", ""follow_up_duration_for_primary_endpoint_s_in_months_control"", ""class_of_ici_1"", ""name_of_ici_1"", ""type_of_therapy"", ""type_of_combination_1"", ""control_arm"", ""clinical_setting"", ""primary_endpoint_1"", ""included_in_ma"" FROM public.""clinical_trials"" WHERE ""trial_phase"" = 'Phase 2' AND ""class_of_ici_1"" ILIKE '%CTLA-4%' AND ""cancer_type"" ILIKE '%Non-Small Cell Lung%'","SELECT ""nct"", ""author"", ""year"", ""pubmed_id"", ""trial_name"", ""trial_phase"", ""cancer_type"", ""treatment_regimen"", ""monotherapy_combination"", ""type_of_combination"", ""control_regimen"", ""type_of_control"", ""lines_of_treatment"", ""clincal_setting_in_relation_to_surgery"", ""primary_endpoint"", ""priamry_multiple_composite_or_co_primary_endpoints"", ""secondary_endpoint"", ""is_pd_l1_positivity_inclusion_criteria"", ""is_any_other_biomarker_used_for_inclusion"", ""type_of_follow_up_given"", ""follow_up_duration_for_primary_endpoint_s_in_months_overall"", ""follow_up_duration_for_primary_endpoint_s_in_months_rx"", ""follow_up_duration_for_primary_endpoint_s_in_months_control"", ""class_of_ici_1"", ""name_of_ici_1"", ""type_of_therapy"", ""type_of_combination_1"", ""control_arm"", ""clinical_setting"", ""primary_endpoint_1"", ""included_in_ma"" FROM public.""clinical_trials"" WHERE ""trial_phase"" = 'Phase 2' AND ""class_of_ici_1"" ILIKE '%CTLA-4%' AND ""cancer_type"" ILIKE '%Non-Small Cell Lung%'",[],Phase 2 CTLA-4 combination trials in Non-Small Cell Lung are listed with their regimens.,Assuming 'CTLA-4' is specified in the class_of_ici_1 column and 'Non-Small Cell Lung' is mentioned in the cancer_type column.,,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""trial_phase"", ""ici_class"", ""therapy_modality"", ""cancer_type"", ""ici_name"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""ici_class"" = 'CTLA-4' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 2' AND ""therapy_modality"" = 'Combination';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""trial_phase"", ""class_of_ici"", ""monotherapy_combination"", ""cancer_type"", ""name_of_ici"", ""treatment_regimen""
FROM public.""clinical_trials""
WHERE ""class_of_ici"" = 'CTLA-4' AND ""cancer_type"" = 'Non-Small Cell Lung' AND ""trial_phase"" = 'Phase 2' AND ""monotherapy_combination"" = 'Combination';","[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'ici_class', 'replaced_with': 'class_of_ici', 'reason': 'known_map'}, {'missing': 'therapy_modality', 'replaced_with': 'monotherapy_combination', 'reason': 'known_map'}, {'missing': 'ici_name', 'replaced_with': 'name_of_ici', 'reason': 'known_map'}]",0.17142857142857143,False,0.7,ok,4.913303069770336,,2.0,04a6fb6d2a9833c6df378cf95c124330,ok,2.6768120005726814,,2,1c3e7538711d13c2669866e4c54ea0b2,False,False,0.0,0.20588235294117646,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row007,8,1,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row007/candidates
8,Which Small Cell Lung trials used Chemo as the control arm?,Qwen3-8B,/mnt/shared/shared_hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218,"SELECT ""nct"", ""author"", ""year"", ""pubmed_id"" FROM public.""clinical_trials"" WHERE ""control_arm"" ILIKE '%chemo%';","SELECT ""nct"", ""author"", ""year"", ""pubmed_id"" FROM public.""clinical_trials"" WHERE ""control_arm"" ILIKE '%chemo%';",[],The SQL query retrieves Small Cell Lung trials where the control arm was Chemo.,Assuming 'Chemo' is a keyword used in the 'control_arm' field to denote chemotherapy as the control treatment.,,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""control_type"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""control_type"" = 'Chemo';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_control"", ""cancer_type"", ""control_regimen"", ""trial_phase""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""type_of_control"" = 'Chemo';","[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'control_type', 'replaced_with': 'type_of_control', 'reason': 'known_map'}]",0.3,False,0.7,ok,3.6110682412981987,,102.0,38226080a171530e1a837433a0b3f007,ok,3.7022391334176064,,11,8a33f1b306ce68ae2c5ae87612e1878d,False,False,91.0,0.3333333333333333,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row008,8,0,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row008/candidates
9,Find Small Cell Lung trials with minimum follow‑up and show months by arm.,Qwen3-8B,/mnt/shared/shared_hf_home/hub/models--Qwen--Qwen3-8B/snapshots/b968826d9c46dd6066d109eabc6255188de91218,"SELECT ""nct"", ""author"", ""year"", ""pubmed_id"", ""follow_up_duration_for_primary_endpoint_s_in_months_overall"" AS overall_follow_up, ""follow_up_duration_for_primary_endpoint_s_in_months_rx"" AS rx_follow_up, ""follow_up_duration_for_primary_endpoint_s_in_months_control"" AS control_follow_up FROM public.""clinical_trials"" WHERE ""cancer_type"" ILIKE '%small cell lung%' ORDER BY ""follow_up_duration_for_primary_endpoint_s_in_months_overall"" DESC;","SELECT ""nct"", ""author"", ""year"", ""pubmed_id"", ""follow_up_duration_for_primary_endpoint_s_in_months_overall"" AS overall_follow_up, ""follow_up_duration_for_primary_endpoint_s_in_months_rx"" AS rx_follow_up, ""follow_up_duration_for_primary_endpoint_s_in_months_control"" AS control_follow_up FROM public.""clinical_trials"" WHERE ""cancer_type"" ILIKE '%small cell lung%' ORDER BY ""follow_up_duration_for_primary_endpoint_s_in_months_overall"" DESC;",[],"Retrieved Small Cell Lung trials with minimum follow-up durations by arm, sorted by overall follow-up duration.","Assumed 'minimum follow-up' refers to the lowest overall follow-up duration. If multiple arms have varying follow-up, the overall duration is used for sorting.",,"SELECT ""nct"", ""author"", ""year"", ""publication_type"", ""follow_up_type"", ""cancer_type"", ""follow_up_duration_rx_months"", ""follow_up_duration_control_months""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""follow_up_type"" = 'Minimum';","SELECT ""nct"", ""author"", ""year"", ""originial_publication_or_follow_up"", ""type_of_follow_up_given"", ""cancer_type"", ""follow_up_duration_for_primary_endpoint_s_in_months_rx"", ""follow_up_duration_for_primary_endpoint_s_in_months_control""
FROM public.""clinical_trials""
WHERE ""cancer_type"" = 'Small Cell Lung' AND ""type_of_follow_up_given"" = 'Minimum';","[{'missing': 'publication_type', 'replaced_with': 'originial_publication_or_follow_up', 'reason': 'known_map'}, {'missing': 'follow_up_type', 'replaced_with': 'type_of_follow_up_given', 'reason': 'known_map'}, {'missing': 'follow_up_duration_rx_months', 'replaced_with': 'follow_up_duration_for_primary_endpoint_s_in_months_rx', 'reason': 'known_map'}, {'missing': 'follow_up_duration_control_months', 'replaced_with': 'follow_up_duration_for_primary_endpoint_s_in_months_control', 'reason': 'known_map'}]",0.26666666666666666,False,0.7,ok,3.8776174187660217,,59.0,f0708374c6d5adf78d0a04ec6f09ebf6,ok,3.081750124692917,,3,12ec026eb3b3703f1b0efea168a0f504,False,False,56.0,0.25,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row009,8,2,results/cat2_all__cat2_self_consistency__20260202_143542__Qwen3-8B/sql_runs/row009/candidates
