question,result_file,ground_truth_file,rows_result,rows_truth,cols_result,cols_truth,added_rows,missing_rows,mismatched_cells,exact_match,note
q10,results\cat3_hybrid_20250905_102222\010_In_Colorectal_trials_determine_whether_the_listed_endpoint_i.csv,ground_truths\cat3_questions_table\q10_cat3_table.csv,4,4,7,7,0,0,0,True,
q1,results\cat3_hybrid_20250905_102222\001_In_Small_Cell_Lung_trials_classify_the_ICI_by_target_class_f.csv,ground_truths\cat3_questions_table\q1_cat3_table.csv,14,59,5,4,0,27,8,False,
q2,results\cat3_hybrid_20250905_102222\002_In_Breast_trials_normalize_the_type_of_follow-up_into_imagin.csv,ground_truths\cat3_questions_table\q2_cat3_table.csv,11,11,6,11,0,0,0,True,
q3,results\cat3_hybrid_20250905_102222\003_For_Atezolizumab_trials_bucket_the_publication_year_into_201.csv,ground_truths\cat3_questions_table\q3_cat3_table.csv,30,31,5,7,0,1,0,False,
q4,results\cat3_hybrid_20250905_102222\004_In_Melanoma_trials_bucket_overall_follow-up_months_into_12_1.csv,ground_truths\cat3_questions_table\q4_cat3_table.csv,26,26,6,6,0,0,1,False,
q5,results\cat3_hybrid_20250905_102222\005_In_Mesothelioma_trials_categorize_number_of_arms_as_1-arm_2-.csv,ground_truths\cat3_questions_table\q5_cat3_table.csv,3,3,5,7,0,0,0,True,
q6,results\cat3_hybrid_20250905_102222\006_In_Melanoma_trials_determine_whether_the_listed_endpoint_is_.csv,ground_truths\cat3_questions_table\q6_cat3_table.csv,26,26,7,7,0,0,1,False,
q7,results\cat3_hybrid_20250905_102222\007_In_Small_Cell_Lung_Phase_3_trials_classify_the_control_arm_a.csv,ground_truths\cat3_questions_table\q7_cat3_table.csv,11,46,5,7,0,22,0,False,
q8,results\cat3_hybrid_20250905_102222\008_In_Renal_cell_Phase_3_trials_classify_the_control_arm_as_act.csv,ground_truths\cat3_questions_table\q8_cat3_table.csv,12,12,5,7,0,0,0,True,
q9,results\cat3_hybrid_20250905_102222\009_In_Breast_trials_determine_whether_the_listed_endpoint_is_pr.csv,ground_truths\cat3_questions_table\q9_cat3_table.csv,11,11,5,7,0,0,0,True,
