NCT,Author,Year_x,PMID_x,Control regimen,cytotoxic_drugs,Authors,Year_y,PMID_y
NCT02142738,Reck M et al,2016,27718847,Platinum-based chemotherapy,"To answer your question, I need more information about the specific Platinum-based chemotherapy regimen. ""Platinum-based chemotherapy"" simply indicates that the regimen includes a platinum-containing drug such as cisplatin, carboplatin, or oxaliplatin.

**Please provide the full name of the chemotherapy regimen.** For example, tell me if it is:

*   Cisplatin and Etoposide
*   Carboplatin and Paclitaxel
*   FOLFOX (Oxaliplatin, Leucovorin, and Fluorouracil)

Once you provide the specific regimen, I can identify the cytotoxic drugs within it.",Reck M et al,2019,30620668
NCT02142738,Reck M et al,2016,27718847,Platinum-based chemotherapy,"To answer your question, I need more information about the specific Platinum-based chemotherapy regimen. ""Platinum-based chemotherapy"" simply indicates that the regimen includes a platinum-containing drug such as cisplatin, carboplatin, or oxaliplatin.

**Please provide the full name of the chemotherapy regimen.** For example, tell me if it is:

*   Cisplatin and Etoposide
*   Carboplatin and Paclitaxel
*   FOLFOX (Oxaliplatin, Leucovorin, and Fluorouracil)

Once you provide the specific regimen, I can identify the cytotoxic drugs within it.",Reck M et al,2016,27718847
NCT02142738,Reck M et al,2019,30620668,Platinum-based chemotherapy,"To answer your question, I need more information about the specific Platinum-based chemotherapy regimen. ""Platinum-based chemotherapy"" simply indicates that the regimen includes a platinum-containing drug such as cisplatin, carboplatin, or oxaliplatin.

**Please provide the full name of the chemotherapy regimen.** For example, tell me if it is:

*   Cisplatin and Etoposide
*   Carboplatin and Paclitaxel
*   FOLFOX (Oxaliplatin, Leucovorin, and Fluorouracil)

Once you provide the specific regimen, I can identify the cytotoxic drugs within it.",Reck M et al,2019,30620668
NCT02142738,Reck M et al,2019,30620668,Platinum-based chemotherapy,"To answer your question, I need more information about the specific Platinum-based chemotherapy regimen. ""Platinum-based chemotherapy"" simply indicates that the regimen includes a platinum-containing drug such as cisplatin, carboplatin, or oxaliplatin.

**Please provide the full name of the chemotherapy regimen.** For example, tell me if it is:

*   Cisplatin and Etoposide
*   Carboplatin and Paclitaxel
*   FOLFOX (Oxaliplatin, Leucovorin, and Fluorouracil)

Once you provide the specific regimen, I can identify the cytotoxic drugs within it.",Reck M et al,2016,27718847
NCT02041533,Carbone DP et al,2017,28636851,Platinum-based chemotherapy,"To answer your question, I need more information about the specific Platinum-based chemotherapy regimen. ""Platinum-based chemotherapy"" simply indicates that the regimen includes a platinum-containing drug such as cisplatin, carboplatin, or oxaliplatin.

**Please provide the full name of the chemotherapy regimen.** For example, tell me if it is:

*   Cisplatin and Etoposide
*   Carboplatin and Paclitaxel
*   FOLFOX (Oxaliplatin, Leucovorin, and Fluorouracil)

Once you provide the specific regimen, I can identify the cytotoxic drugs within it.",Carbone DP et al,2017,28636851
NCT03088540,Sezer A et al,2021,33581821,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Sezer A et al,2021,33581821
NCT03215706,Paz-Ares L et al,2021,33476593,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Paz-Ares L et al,2021,33476593
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen so I can identify the cytotoxic drugs within it.,Hellmann MD et al,2019,31562796
