question,generated_sql,Primary endpoint,Secondary endpoint
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT
  ""Primary endpoint"",
  ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Breast'",OS+PFS,"investigator-assessed RECIST v1.1 ORR,  DoR"
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT
  ""Primary endpoint"",
  ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Breast'",Path CR,"response rate by other path CR definitions (ypT0/is ypN0, ypT0/is ypN0/þ, and ypN0) and by clinical and imaging assessment; rate of breast conserving surgery and axilla lymph node dissection; efficacy in predefined subgroups according to centrally assessed sTILs [low ( 10%), intermediate (11%–59%), high ( 60%)]"
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT
  ""Primary endpoint"",
  ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Breast'",Path CR,residual cancer burden (RCB) and 3-year event-free and distant recurrence-free survival.
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT
  ""Primary endpoint"",
  ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Breast'",OS+PFS,"investigator-assessed RECIST v1.1 ORR,  DoR"
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT
  ""Primary endpoint"",
  ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Breast'",Path CR+EFS,"pathological complete response, a pathological complete response according to all definitions in patients with PD-L1–positive tumors, eventfree survival among patients with PD-L1–positive tumors, and OS among all patients and patients with PD-L1–positive tumors."
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT
  ""Primary endpoint"",
  ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Breast'",PFS,"PFS per irRECIST, ORR, OS, DoR, clinical benefit rate, safety, tolerability"
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT
  ""Primary endpoint"",
  ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Breast'",OS+PFS,"ORR, DoR, DCR"
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT
  ""Primary endpoint"",
  ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Breast'",Path CR in ITT+Path CR in PD-L1+,"OS, Event free survival , disease free survival"
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT
  ""Primary endpoint"",
  ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Breast'",PFS,"OS, ORR, DOR"
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT
  ""Primary endpoint"",
  ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Breast'",PFS,OS
"In Breast trials, determine whether the listed endpoint is primary or secondary based on the endpoint text.","SELECT
  ""Primary endpoint"",
  ""Secondary endpoint""
FROM compat.clinical_trials
WHERE ""Cancer type"" = 'Breast'",OS,PFS; ORR; DCR; DoR; safety
