NCT,Author,Year_x,PMID_x,Control regimen,cytotoxic_drugs,Authors,Year_y,PMID_y
NCT02142738,Reck M et al,2016,27718847,Platinum-based chemotherapy,"To answer accurately, I need the specific Platinum-based chemotherapy regimen you're referring to.

For example, if you meant ""Cisplatin and Etoposide,"" then:

*   **Cisplatin** is the Platinum-based cytotoxic drug.
*   **Etoposide** is also a cytotoxic drug (a topoisomerase II inhibitor).

However, if you meant ""Carboplatin and Paclitaxel"" then:

*   **Carboplatin** is the Platinum-based cytotoxic drug.
*   **Paclitaxel** is also a cytotoxic drug (a taxane).

Without the specific regimen, I cannot provide a definitive list.",Reck M et al,2019,30620668
NCT02142738,Reck M et al,2016,27718847,Platinum-based chemotherapy,"To answer accurately, I need the specific Platinum-based chemotherapy regimen you're referring to.

For example, if you meant ""Cisplatin and Etoposide,"" then:

*   **Cisplatin** is the Platinum-based cytotoxic drug.
*   **Etoposide** is also a cytotoxic drug (a topoisomerase II inhibitor).

However, if you meant ""Carboplatin and Paclitaxel"" then:

*   **Carboplatin** is the Platinum-based cytotoxic drug.
*   **Paclitaxel** is also a cytotoxic drug (a taxane).

Without the specific regimen, I cannot provide a definitive list.",Reck M et al,2016,27718847
NCT02142738,Reck M et al,2019,30620668,Platinum-based chemotherapy,"To answer accurately, I need the specific Platinum-based chemotherapy regimen you're referring to.

For example, if you meant ""Cisplatin and Etoposide,"" then:

*   **Cisplatin** is the Platinum-based cytotoxic drug.
*   **Etoposide** is also a cytotoxic drug (a topoisomerase II inhibitor).

However, if you meant ""Carboplatin and Paclitaxel"" then:

*   **Carboplatin** is the Platinum-based cytotoxic drug.
*   **Paclitaxel** is also a cytotoxic drug (a taxane).

Without the specific regimen, I cannot provide a definitive list.",Reck M et al,2019,30620668
NCT02142738,Reck M et al,2019,30620668,Platinum-based chemotherapy,"To answer accurately, I need the specific Platinum-based chemotherapy regimen you're referring to.

For example, if you meant ""Cisplatin and Etoposide,"" then:

*   **Cisplatin** is the Platinum-based cytotoxic drug.
*   **Etoposide** is also a cytotoxic drug (a topoisomerase II inhibitor).

However, if you meant ""Carboplatin and Paclitaxel"" then:

*   **Carboplatin** is the Platinum-based cytotoxic drug.
*   **Paclitaxel** is also a cytotoxic drug (a taxane).

Without the specific regimen, I cannot provide a definitive list.",Reck M et al,2016,27718847
NCT02041533,Carbone DP et al,2017,28636851,Platinum-based chemotherapy,"To answer accurately, I need the specific Platinum-based chemotherapy regimen you're referring to.

For example, if you meant ""Cisplatin and Etoposide,"" then:

*   **Cisplatin** is the Platinum-based cytotoxic drug.
*   **Etoposide** is also a cytotoxic drug (a topoisomerase II inhibitor).

However, if you meant ""Carboplatin and Paclitaxel"" then:

*   **Carboplatin** is the Platinum-based cytotoxic drug.
*   **Paclitaxel** is also a cytotoxic drug (a taxane).

Without the specific regimen, I cannot provide a definitive list.",Carbone DP et al,2017,28636851
NCT03088540,Sezer A et al,2021,33581821,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Sezer A et al,2021,33581821
NCT02481830,Spigel DR et al,2021,33539946,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Spigel DR et al,2021,33539946
NCT03215706,Paz-Ares L et al,2021,33476593,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Paz-Ares L et al,2021,33476593
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al,2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al (1),2018,29658845
NCT02477826,Hellmann MD et al (2),2019,31562796,Chemotherapy,Please provide the chemotherapy regimen. I need the list of drugs included in the regimen to identify any cytotoxic drugs.,Hellmann MD et al,2019,31562796
