Question,Ground Truth (JSON)
Show me the treatment regimen and names of immune checkpoint inhibitors of the class PD1 inhibitors given for non-small cell lung cancer.,"{
  ""selected_filter"": {
    ""Class of ICI"": ""PD1"",
    ""Cancer type"": ""Non-Small Cell Lung Cancer""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Treatment regimen"",
    ""Column 7"": ""Name of ICI"",
    ""Column 8"": ""Class of ICI"",
    ""Column 9"": ""Cancer type""
  }
}"
List the names and clinical setting of all combination ICIs given in melanoma patients.,"{
  ""selected_filter"": {
    ""Monotherapy/combination"": ""Combination"",
    ""Cancer Type"": ""Melanoma""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Name of ICI"",
    ""Column 7"": ""Clinical setting in relation to surgery"",
    ""Column 8"": ""Monotherapy/combination"",
    ""Column 9"": ""Cancer type""
  }
}"
What are the primary endpoints and sample sizes in trials assessing CTLA4 agents in GEJ cancers?,"{
  ""selected_filter"": {
    ""Class of ICI"": ""CTLA4 or any combination of CTLA4"",
    ""Cancer type"": ""GEJ/Esophageal/GEJ""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Primary endpoint"",
    ""Column 7"": ""Total sample size"",
    ""Column 8"": ""Class of ICI"",
    ""Column 9"": ""Cancer type""
  }
}"
Get all phase 3 studies assessing monotherapy for urothelial/bladder cancer and provide follow-up durations for each.,"{
  ""selected_filter"": {
    ""Trial phase"": ""Phase 3"",
    ""Monotherapy/combination"": ""Monotherapy"",
    ""Cancer type"": ""Urothelial and Bladder""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Trial phase"",
    ""Column 7"": ""Monotherapy/combination"",
    ""Column 8"": ""Cancer type"",
    ""Column 9"": ""Follow up duration for primary endpoints (overall, Rx, control)""
  }
}"
Which trials included patients after surgery in NSCLC?,"{
  ""selected_filter"": {
    ""Clinical setting in relation to surgery"": ""Adjuvant"",
    ""Cancer type"": ""NSCLC""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Clinical setting in relation to surgery"",
    ""Column 7"": ""Cancer type""
  }
}"
Provide treatment and comparator names of trials comparing CTLA4 and PD1 agents in RCC.,"{
  ""selected_filter"": {
    ""Class of ICI"": ""PD1, CTLA-4 or both"",
    ""Cancer type"": ""Renal cell""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Treatment regimen"",
    ""Column 7"": ""Control regimen"",
    ""Column 8"": ""Class of ICI"",
    ""Column 9"": ""Cancer type""
  }
}"
Provide all information of studies assessing PD-L1 inhibitors.,"{
  ""selected_filter"": {
    ""Class of ICI"": ""PD-L1""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""All the remaining columns""
  }
}"
Provide trial names of all the studies where the sample size is equal to or greater than 500.,"{
  ""selected_filter"": {
    ""Total sample size"": "">= 500""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Study name"",
    ""Column 7"": ""Total sample size""
  }
}"
Provide treatment names for all the trials where the primary endpoint is overall survival,"{
  ""selected_filter"": {
    ""Primary endpoint"": ""OS""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Treatment regimen"",
    ""Column 7"": ""Primary endpoint""
  }
}"
Provide trial names of all the studies after 2020,"{
  ""selected_filter"": {
    ""Year"": ""> 2020""
  },
  ""selected_column"": {
    ""Column 1"": ""NCT"",
    ""Column 2"": ""PMID"",
    ""Column 3"": ""Authors"",
    ""Column 4"": ""Year"",
    ""Column 5"": ""Original/Follow up"",
    ""Column 6"": ""Study name""
  }
}"
