row_index,question,final_json,audit_json
0,Show me the treatment regimen and names of immune checkpoint inhibitors of the class PD1 inhibitors given for non-small cell lung cancer.,"{""selected_filter"": {""ICI Class"": ""PD-1"", ""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Treatment regimen"", ""Column 6"": ""Name of ICI""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
1,List the names and clinical setting of all combination ICIs given in melanoma patients.,"{""selected_filter"": {""Cancer Type"": ""Melanoma"", ""Type of Therapy"": ""Combination""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Clinical setting in relation to surgery""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
2,What are the primary endpoints and sample sizes in trials assessing CTLA4 agents in GEJ cancers?,"{""selected_filter"": {""ICI Class"": ""CTLA-4"", ""Cancer Type"": ""Esophageal/GEJ""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Primary endpoint"", ""Column 8"": ""Total sample size""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
3,Get all phase 3 studies assessing monotherapy for urothelial/bladder cancer and provide follow-up durations for each.,"{""selected_filter"": {""Trial Phase"": ""Phase 3"", ""Type of Therapy"": ""Monotherapy"", ""Cancer Type"": ""Bladder""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Primary endpoint"", ""Column 8"": ""Follow-up duration for primary endpoint(s) in months""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
4,Which trials included patients after surgery in NSCLC?,"{""selected_filter"": {""Cancer Type"": ""Non-Small Cell Lung Cancer (NSCLC)"", ""Clinical Setting"": ""Adjuvant""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Class of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Primary endpoint"", ""Column 10"": ""Total sample size""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
5,Provide treatment and comparator names of trials comparing CTLA4 and PD1 agents in RCC.,"{""selected_filter"": {""Cancer Type"": ""Renal Cell Carcinoma (RCC)""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Name of ICI"", ""Column 6"": ""Class of ICI"", ""Column 7"": ""Treatment regimen"", ""Column 8"": ""Control regimen""}}","{""dropped_non_canonical_filter_keys"": [""Class of Therapy (Treatment Arm)"", ""Class of Therapy (Control Arm)""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
6,Provide all information of studies assessing PD-L1 inhibitors.,"{""selected_filter"": {""ICI Class"": ""PD-L1""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Monotherapy/combination"", ""Column 9"": ""Primary endpoint"", ""Column 10"": ""Clinical setting in relation to surgery""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
7,Provide trial names of all the studies where the sample size is equal to or greater than 500.,"{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Total sample size""}}","{""dropped_non_canonical_filter_keys"": [""Total sample size""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
8,Provide treatment names for all the trials where the primary endpoint is overall survival,"{""selected_filter"": {""Primary Endpoint"": ""OS""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name"", ""Column 6"": ""Cancer type"", ""Column 7"": ""Name of ICI"", ""Column 8"": ""Class of ICI"", ""Column 9"": ""Monotherapy/combination"", ""Column 10"": ""Treatment regimen""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
9,Provide trial names of all the studies after 2020,"{""selected_filter"": {}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Study name""}}","{""dropped_non_canonical_filter_keys"": [""Year""], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
10,"Which cancers have PD-1 inhibitor monotherapy trials, and what outcomes were measured?	""","{""selected_filter"": {""ICI Class"": ""PD-1"", ""Type of Therapy"": ""Monotherapy""}, ""selected_column"": {""Column 1"": ""NCT"", ""Column 2"": ""PMID"", ""Column 3"": ""Authors"", ""Column 4"": ""Year"", ""Column 5"": ""Cancer type"", ""Column 6"": ""Name of ICI"", ""Column 7"": ""Primary endpoint"", ""Column 8"": ""Secondary endpoint""}}","{""dropped_non_canonical_filter_keys"": [], ""dropped_filter_values"": [], ""composite_ici_class_rejected"": false, ""moved_filters_that_are_columns"": [], ""column_synonyms_applied"": [], ""trimmed_columns_count"": 0, ""notes"": []}"
